
EMHASS: Energy Management Optimization for Home Assistant
Use the button below to manually launch optimization task
Day-ahead Optimization
The day-ahead optimization button will run once, based on the values entered into the configuration page.
After a few seconds, the charts and table below should be updated to reflect the optimization plan for the next 24 hours.


EMHASS optimization results
Plotting latest optimization results
Last run optimization results table
index	P_PV	P_Load	P_grid_pos	P_grid_neg	P_grid	P_batt	SOC_opt	batt_stress_cost	soc_deficit_cost	soc_surplus_cost	unit_load_cost	unit_prod_price	maximum_power_from_grid	maximum_power_to_grid	cost_profit	cost_fun_profit
2026-08-29 15:15:00+02:00	1545	905	14359	0	14359	-15000	0.533	0.014	0.0	0.0	0.001	-0.024	17200.0	17200.0	-0.004	-0.004
2026-08-29 15:30:00+02:00	916	905	14988	0	14988	-15000	0.646	0.014	0.0	0.0	0.002	-0.023	17200.0	17200.0	-0.007	-0.007
2026-08-29 15:45:00+02:00	570	905	13290	0	13290	-12955	0.743	0.010	0.0	0.0	0.010	-0.015	17200.0	17200.0	-0.033	-0.033
2026-08-29 16:00:00+02:00	437	3245	17200	0	17200	-14392	0.852	0.013	0.0	0.0	0.000	-0.025	17200.0	17200.0	-0.000	-0.000
2026-08-29 16:15:00+02:00	409	3245	17200	0	17200	-14364	0.960	0.013	0.0	0.0	0.005	-0.020	17200.0	17200.0	-0.022	-0.022
2026-08-29 16:30:00+02:00	394	3245	2850	0	2850	0	0.960	0.000	0.0	0.0	0.036	0.011	17200.0	17200.0	-0.026	-0.026
2026-08-29 16:45:00+02:00	345	3245	0	0	0	2899	0.938	0.001	0.0	0.0	0.072	0.047	17200.0	17200.0	-0.000	-0.000
2026-08-29 17:00:00+02:00	297	1931	4532	0	4532	-2899	0.960	0.001	0.0	0.0	0.058	0.033	17200.0	17200.0	-0.066	-0.066
2026-08-29 17:15:00+02:00	262	1931	1668	0	1668	0	0.960	0.000	0.0	0.0	0.111	0.086	17200.0	17200.0	-0.046	-0.046
2026-08-29 17:30:00+02:00	215	1931	1715	0	1715	0	0.960	0.000	0.0	0.0	0.144	0.119	17200.0	17200.0	-0.062	-0.062
2026-08-29 17:45:00+02:00	161	1931	0	0	0	1769	0.947	0.000	0.0	0.0	0.180	0.155	17200.0	17200.0	-0.000	-0.000
2026-08-29 18:00:00+02:00	94	834	2508	0	2508	-1769	0.960	0.000	0.0	0.0	0.155	0.130	17200.0	17200.0	-0.097	-0.097
2026-08-29 18:15:00+02:00	30	834	803	0	803	0	0.960	0.000	0.0	0.0	0.162	0.137	17200.0	17200.0	-0.033	-0.033
2026-08-29 18:30:00+02:00	0	834	0	0	0	834	0.954	0.000	0.0	0.0	0.197	0.172	17200.0	17200.0	-0.000	-0.000
2026-08-29 18:45:00+02:00	0	834	0	-13305	-13305	14139	0.847	0.012	0.0	0.0	0.218	0.193	17200.0	17200.0	0.642	0.642
2026-08-29 19:00:00+02:00	0	854	0	0	0	854	0.841	0.000	0.0	0.0	0.199	0.174	17200.0	17200.0	-0.000	-0.000
2026-08-29 19:15:00+02:00	0	854	0	-11146	-11146	12000	0.750	0.009	0.0	0.0	0.217	0.192	17200.0	17200.0	0.535	0.535
2026-08-29 19:30:00+02:00	0	854	0	-14146	-14146	15000	0.638	0.014	0.0	0.0	0.235	0.210	17200.0	17200.0	0.743	0.743
2026-08-29 19:45:00+02:00	0	854	0	-14146	-14146	15000	0.525	0.014	0.0	0.0	0.249	0.224	17200.0	17200.0	0.792	0.792
2026-08-29 20:00:00+02:00	0	1211	0	-13789	-13789	15000	0.412	0.014	0.0	0.0	0.251	0.226	17200.0	17200.0	0.779	0.779
2026-08-29 20:15:00+02:00	0	1211	0	-13789	-13789	15000	0.299	0.014	0.0	0.0	0.231	0.206	17200.0	17200.0	0.710	0.710
2026-08-29 20:30:00+02:00	0	1211	0	-6289	-6289	7500	0.242	0.003	0.0	0.0	0.215	0.190	17200.0	17200.0	0.299	0.299
2026-08-29 20:45:00+02:00	0	1211	0	-3289	-3289	4500	0.208	0.001	0.0	0.0	0.213	0.188	17200.0	17200.0	0.155	0.155
2026-08-29 21:00:00+02:00	0	1065	0	-13935	-13935	15000	0.095	0.014	0.0	0.0	0.242	0.217	17200.0	17200.0	0.756	0.756
2026-08-29 21:15:00+02:00	0	1065	0	0	0	1065	0.087	0.000	0.0	0.0	0.209	0.184	17200.0	17200.0	-0.000	-0.000
2026-08-29 21:30:00+02:00	0	1065	0	0	0	1065	0.079	0.000	0.0	0.0	0.196	0.171	17200.0	17200.0	-0.000	-0.000
2026-08-29 21:45:00+02:00	0	1065	1065	0	1065	0	0.079	0.000	0.0	0.0	0.185	0.160	17200.0	17200.0	-0.049	-0.049
2026-08-29 22:00:00+02:00	0	1297	0	0	0	1297	0.070	0.000	0.0	0.0	0.208	0.183	17200.0	17200.0	-0.000	-0.000
2026-08-29 22:15:00+02:00	0	1297	0	0	0	1297	0.060	0.000	0.0	0.0	0.188	0.163	17200.0	17200.0	-0.000	-0.000
2026-08-29 22:30:00+02:00	0	1297	0	0	0	1297	0.050	0.000	0.0	0.0	0.190	0.165	17200.0	17200.0	-0.000	-0.000
2026-08-29 22:45:00+02:00	0	1297	1297	0	1297	0	0.050	0.000	0.0	0.0	0.182	0.157	17200.0	17200.0	-0.059	-0.059
2026-08-29 23:00:00+02:00	0	1038	1038	0	1038	0	0.050	0.000	0.0	0.0	0.179	0.154	17200.0	17200.0	-0.046	-0.046
2026-08-29 23:15:00+02:00	0	1038	1038	0	1038	0	0.050	0.000	0.0	0.0	0.171	0.146	17200.0	17200.0	-0.044	-0.044
2026-08-29 23:30:00+02:00	0	1038	1038	0	1038	0	0.050	0.000	0.0	0.0	0.175	0.150	17200.0	17200.0	-0.045	-0.045
2026-08-29 23:45:00+02:00	0	1038	1038	0	1038	0	0.050	0.000	0.0	0.0	0.168	0.143	17200.0	17200.0	-0.044	-0.044
2026-08-30 00:00:00+02:00	0	1088	1088	0	1088	0	0.050	0.000	0.0	0.0	0.163	0.138	17200.0	17200.0	-0.044	-0.044
2026-08-30 00:15:00+02:00	0	1088	1088	0	1088	0	0.050	0.000	0.0	0.0	0.150	0.125	17200.0	17200.0	-0.041	-0.041
